Symbol,Name,Sector,Price,Score,RSI,MACD_Signal,Fresh_MACD_Cross,Above_50SMA,Above_200SMA,Crossed_50SMA_Recently,ADX,From_52W_High_%,From_52W_Low_%,Sub_RSI,Sub_MACD,Sub_MA,Sub_BB,Sub_Volume,Sub_OBV,Sub_ADX,Market_Cap_B,Avg_Volume_M,Run_Date,Run_Time_UTC
COST,Costco Wholesale Corporation,Consumer Defensive,895.31,3.25,36.0,Bearish,No,No,No,No,31.2,,,2.0,0.0,0.0,0.75,0.5,0.0,0.0,397.1,2.2,2026-09-18,23:24
MA,Mastercard Incorporated,Financial Services,565.24,3.25,44.3,Bearish,No,No,Yes,No,20.7,,,2.0,0.0,0.5,0.75,0.0,0.0,0.0,495.2,3.1,2026-09-18,23:24
NVDA,NVIDIA Corporation,Technology,222.27,3.0,54.4,Bearish,No,Yes,Yes,No,17.7,,,1.5,0.0,1.5,0.0,0.0,0.0,0.0,5367.2,128.3,2026-09-18,23:24
LRCX,Lam Research Corporation,Technology,288.11,3.0,45.5,Bearish,No,No,Yes,No,26.9,,,1.5,0.0,0.5,0.5,0.5,0.0,0.0,360.5,10.6,2026-09-18,23:24
WMT,Walmart Inc.,Consumer Defensive,106.73,3.0,46.0,Bullish,No,No,No,No,18.5,,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,849.4,23.9,2026-09-18,23:24
ADBE,Adobe Inc.,Technology,248.92,2.75,42.4,Bearish,No,No,No,No,33.9,,,2.0,0.0,0.0,0.75,0.0,0.0,0.0,98.9,5.5,2026-09-18,23:24
AMZN,"Amazon.com, Inc.",Consumer Cyclical,253.71,2.5,48.0,Bearish,No,No,Yes,No,12.9,,,1.5,0.0,0.5,0.5,0.0,0.0,0.0,2736.6,46.1,2026-09-18,23:24
JNJ,Johnson & Johnson,Healthcare,269.99,2.5,55.1,Bearish,No,Yes,Yes,No,14.7,,,1.0,0.0,1.5,0.0,0.0,0.0,0.0,650.6,7.3,2026-09-18,23:24
BAC,Bank of America Corporation,Financial Services,57.73,2.5,29.7,Bearish,No,No,Yes,No,40.7,,,0.5,0.0,0.5,1.0,0.5,0.0,0.0,403.7,32.7,2026-09-18,23:24
HD,"Home Depot, Inc. (The)",Consumer Cyclical,299.98,1.75,29.7,Bearish,No,No,No,No,41.0,,,0.5,0.0,0.0,0.75,0.5,0.0,0.0,299.3,4.0,2026-09-18,23:24
AVGO,Broadcom Inc.,Technology,357.61,1.5,45.5,Bearish,No,No,No,No,31.6,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1707.1,23.1,2026-09-18,23:24
